variable,value,Label
CITATION,Variable Label,PLEASE CITE THE DATA AS FOLLOWS
doi,Variable Label,digital object identifier
ENTRY_WAVE,Variable Label,ENTRY WAVE
FUNDING_ACKNOWLEDGEMENT,Variable Label,FUNDING ACKNOWLEDGEMENT
RESPID,Variable Label,RESPONDENT ID (RANDOM)
SD_ACCESS_BALCONY,Variable Label,ZUGANG PRIVATE FREIFLAECHE: BALKON
SD_ACCESS_BALCONY,0,Nicht genannt
SD_ACCESS_BALCONY,1,Genannt
SD_ACCESS_GARDEN,Variable Label,ZUGANG PRIVATE FREIFLAECHE: GARTEN
SD_ACCESS_GARDEN,0,Nicht genannt
SD_ACCESS_GARDEN,1,Genannt
SD_ACCESS_NOANSWER,Variable Label,ZUGANG PRIVATE FREIFLAECHE: KEINE ANGABE
SD_ACCESS_NOANSWER,0,Nicht genannt
SD_ACCESS_NOANSWER,99,Genannt
SD_ACCESS_NONE,Variable Label,ZUGANG PRIVATE FREIFLAECHE: NEIN
SD_ACCESS_NONE,0,Nicht genannt
SD_ACCESS_NONE,1,Genannt
SD_BIRTHYEAR,Variable Label,GEBURTSJAHR
SD_BIRTHYEAR,1945,<=1945
SD_BIRTHYEAR,2003,>=2003
SD_BORN_AUSTRIA,Variable Label,GEBURTSLAND OESTERREICH
SD_BORN_AUSTRIA,1,Ja
SD_BORN_AUSTRIA,2,Nein
SD_BORN_AUSTRIA,99,keine Angabe
SD_BULA,Variable Label,BUNDESLAND
SD_BULA,1,Vorarlberg
SD_BULA,2,Tirol
SD_BULA,3,Salzburg
SD_BULA,4,Steiermark
SD_BULA,5,Kaernten
SD_BULA,6,Oberoesterreich
SD_BULA,7,Niederoesterreich
SD_BULA,8,Wien
SD_BULA,9,Burgenland
SD_BULA,10,Ich lebe nicht in Oesterreich
SD_COMPANY_NUMEMPL,Variable Label,ANZAHL DER BESCHAEFTIGTEN IM UNTERNEHMEN: FEBRUAR 2020
SD_COMPANY_NUMEMPL,1,1-5
SD_COMPANY_NUMEMPL,2,6-10
SD_COMPANY_NUMEMPL,3,11-100
SD_COMPANY_NUMEMPL,4,100-1000
SD_COMPANY_NUMEMPL,5,Mehr als 1000
SD_COMPANY_NUMEMPL,88,Weiss nicht
SD_COMPANY_NUMEMPL,99,keine Angabe
SD_EDU,Variable Label,HOECHSTER SCHUL-/BILDUNGSABSCHLUSS
SD_EDU,1,Volksschule oder weniger
SD_EDU,2,Hauptschule oder AHS Unterstufe
SD_EDU,3,"Polytechnikum, BMS (Fachschule, z.B. HASCH)"
SD_EDU,4,"Lehre, Berufsschule"
SD_EDU,5,AHS mit Matura
