Variable;Position;Label;Measurement Level;Role;Column Width;Alignment;Print Format;Write Format
VERSION_DATASET;1;VERSION;Nominal;Input;32;Left;A36;A36
CITATION;2;PLEASE CITE THE DATA AS FOLLOWS;Nominal;Input;32;Left;A312;A312
FUNDING_ACKNOWLEDGEMENT;3;FUNDING ACKNOWLEDGEMENT;Nominal;Input;32;Left;A463;A463
RESPID;4;RESPONDENT ID (RANDOM);Scale;Input;8;Right;F12;F12
ENTRY_WAVE;5;ENTRY WAVE;Scale;Input;8;Right;F9;F9
W1_PANELIST;6;PANELIST WAVE 1;Nominal;Input;8;Right;F9;F9
W2_PANELIST;7;PANELIST WAVE 2;Nominal;Input;8;Right;F9;F9
W3_PANELIST;8;PANELIST WAVE 3;Nominal;Input;8;Right;F9;F9
W4_PANELIST;9;PANELIST WAVE 4;Nominal;Input;8;Right;F9;F9
W5_PANELIST;10;PANELIST WAVE 5;Nominal;Input;8;Right;F9;F9
W6_PANELIST;11;PANELIST WAVE 6;Nominal;Input;8;Right;F9;F9
W7_PANELIST;12;PANELIST WAVE 7;Nominal;Input;8;Right;F9;F9
W8_PANELIST;13;PANELIST WAVE 8;Nominal;Input;8;Right;F9;F9
W9_PANELIST;14;PANELIST WAVE 9;Nominal;Input;8;Right;F9;F9
W10_PANELIST;15;PANELIST WAVE 10;Nominal;Input;8;Right;F9;F9
W11_PANELIST;16;PANELIST WAVE 11;Nominal;Input;8;Right;F9;F9
W12_PANELIST;17;PANELIST WAVE 12;Nominal;Input;8;Right;F9;F9
W13_PANELIST;18;PANELIST WAVE 13;Nominal;Input;8;Right;F9;F9
W14_PANELIST;19;PANELIST WAVE 14;Nominal;Input;8;Right;F9;F9
W15_PANELIST;20;PANELIST WAVE 15;Nominal;Input;8;Right;F9;F9
W16_PANELIST;21;PANELIST WAVE 16;Nominal;Input;8;Right;F9;F9
W17_PANELIST;22;PANELIST WAVE 17;Nominal;Input;8;Right;F9;F9
